lower,upper
0.99975,0.03325817
0.9947295,0.03287134
0.9851633,0.03092821
0.9740043,0.02878719
0.962047,0.0264357
0.9498133,0.02348188
0.9374996,0.01932576
0.925098,0.01449874
0.9126126,0.008993716
0.9000795,0.002745172
0.8875235,-0.004306837
0.8749478,-0.01221951
0.8623495,-0.02104989
0.8497329,-0.03084171
0.8371089,-0.04161949
0.8244884,-0.05339468
0.8118774,-0.06616377
0.7992773,-0.07991139
0.7866872,-0.09462409
0.7741057,-0.1102797
0.761531,-0.1268475
0.7489616,-0.1442912
0.7363968,-0.1625715
0.7238371,-0.1816434
0.7112838,-0.2014571
0.6987376,-0.2219406
0.6861976,-0.2430288
0.6736612,-0.264635
0.6611247,-0.2867014
0.6485852,-0.3092163
0.6360412,-0.3321679
0.6234924,-0.3555919
0.6109397,-0.3794713
0.5983857,-0.4038267
0.5858346,-0.4286691
0.5732921,-0.4540508
0.5607638,-0.4799067
0.5482527,-0.5060813
0.535758,-0.5324009
0.5232758,-0.558666
0.5108008,-0.5847759
0.4983286,-0.6107467
0.4858564,-0.6365078
0.4733828,-0.6620202
0.4609073,-0.687262
0.44843,-0.7123201
0.435951,-0.7372264
0.4234703,-0.7620223
0.4109884,-0.7867644
0.3985059,-0.8115324
0.3860238,-0.8364032
0.3735431,-0.8614557
0.3610652,-0.8867849
0.348591,-0.9124426
0.3361211,-0.9385713
0.3236558,-0.9652532
0.3111963,-0.9926664
0.298745,-1.020927
0.2863057,-1.050313
0.273883,-1.080994
0.2614811,-1.112901
0.2491029,-1.146127
0.2367506,-1.180929
0.2244266,-1.217283
0.2121343,-1.255447
0.1998783,-1.295792
0.1876642,-1.338521
0.1754986,-1.383766
0.1633883,-1.432287
0.1513423,-1.484369
0.1393735,-1.540184
0.1274987,-1.600952
0.1157379,-1.666756
0.1041103,-1.737835
0.0926353,-1.816071
0.0813553,-1.90016
0.0703435,-1.993503
0.0596778,-2.104125
0.0493868,-2.265073
0.0395562,-2.601911
0.0305972,-3.303836
0.0229472,-3.879317
0.0166788,-3.940075
0.0116976,-3.999309
0.0079657,-4.061185
0.0052295,-4.143806
0.003269,-4.308039
0.0018807,-4.590585
0.0008985,-4.962448
0.0002474,-5.3767
-8.88E-05,-5.735563
-0.0001134,-5.664361
0.0002056,-4.376705
0.0008955,-2.417801
0.0019848,-0.9274644
0.0035758,0.01335236
0.0058537,0.5326074
0.0091431,0.8199051
0.0135928,0.9626184
0.0186663,1.000163
0.0247557,0.9885193
0.0329813,0.9432546
0.0436762,0.8778612
0.0547512,0.8151427
0.065841,0.7608252
0.0774405,0.7107086
0.0895086,0.6660872
0.1017308,0.6267889
0.113967,0.5921993
0.1262507,0.561146
0.1386172,0.533177
0.1510601,0.5077611
0.1635514,0.4845734
0.1760719,0.4633911
0.188615,0.4438617
0.2011823,0.4257497
0.2137734,0.408888
0.2263848,0.3930612
0.2390103,0.3780966
0.2516451,0.3639634
0.2642866,0.3506038
0.2769349,0.3379502
0.2895911,0.3259516
0.3022551,0.3145243
0.3149262,0.3036076
0.3276022,0.2931185
0.3402813,0.2830441
0.3529625,0.2733763
0.3656453,0.2640664
0.3783305,0.255112
0.391018,0.2464858
0.4037077,0.2381607
0.4163981,0.2301019
0.4290875,0.2222792
0.4417745,0.2147252
0.4544589,0.207422
0.4671415,0.2004238
0.4798245,0.1937255
0.4925094,0.1873062
0.5051966,0.1811345
0.517885,0.1751709
0.530572,0.1693723
0.5432552,0.1637683
0.5559334,0.1583889
0.5686071,0.1532695
0.581278,0.1484643
0.5939487,0.1439695
0.6066205,0.1397472
0.6192939,0.135797
0.6319683,0.1321022
0.6446425,0.1286597
0.657316,0.1254791
0.669989,0.1225833
0.6826625,0.1199868
0.6953381,0.1176715
0.7080178,0.1156217
0.7207041,0.1138097
0.7333993,0.1122366
0.7461055,0.1108263
0.7588225,0.1095133
0.7715476,0.1082427
0.7842771,0.1069379
0.7970085,0.105644
0.8097426,0.1043484
0.822483,0.1030972
0.8352324,0.101869
0.8479868,0.1006811
0.8607351,0.09957664
0.8734648,0.09844007
0.8861717,0.09707847
0.8988599,0.09531605
0.911532,0.09302117
0.9241753,0.09012118
0.9367624,0.08635921
0.9492623,0.08099918
0.9616297,0.07306532
0.9737011,0.06095844
0.9850341,0.04281014
0.9947108,0.01369192
0.99975,0.03325817
