lower,upper
0.99975,0.0004678821
0.9947295,6.41E-05
0.9851633,-0.001530307
0.9740043,-0.003218082
0.962047,-0.004841128
0.9498133,-0.006336648
0.9374996,-0.00780403
0.925098,-0.009751151
0.9126126,-0.01315979
0.9000795,-0.01745452
0.8875235,-0.02242922
0.8749478,-0.02814542
0.8623495,-0.03466405
0.8497329,-0.04203772
0.8371089,-0.05030621
0.8244884,-0.0595
0.8118774,-0.06963977
0.7992773,-0.08073807
0.7866872,-0.0928075
0.7741057,-0.1058541
0.761531,-0.1198766
0.7489616,-0.1348684
0.7363968,-0.1508177
0.7238371,-0.1677054
0.7112838,-0.1855055
0.6987376,-0.2041732
0.6861976,-0.2236641
0.6736612,-0.2439157
0.6611247,-0.264881
0.6485852,-0.286542
0.6360412,-0.3088792
0.6234924,-0.3319053
0.6109397,-0.3555957
0.5983857,-0.3799509
0.5858346,-0.4049636
0.5732921,-0.4306547
0.5607638,-0.4569584
0.5482527,-0.4837382
0.535758,-0.5108396
0.5232758,-0.5380861
0.5108008,-0.5653744
0.4983286,-0.592691
0.4858564,-0.6199607
0.4733828,-0.647134
0.4609073,-0.6741786
0.44843,-0.7011514
0.435951,-0.728073
0.4234703,-0.7549754
0.4109884,-0.7819071
0.3985059,-0.8089386
0.3860238,-0.8361422
0.3735431,-0.8635954
0.3610652,-0.8913915
0.348591,-0.9195929
0.3361211,-0.9483382
0.3236558,-0.9777228
0.3111963,-1.007922
0.298745,-1.039068
0.2863057,-1.071424
0.273883,-1.105169
0.2614811,-1.14029
0.2491029,-1.176905
0.2367506,-1.215277
0.2244266,-1.25545
0.2121343,-1.297706
0.1998783,-1.342433
0.1876642,-1.389904
0.1754986,-1.440349
0.1633883,-1.494542
0.1513423,-1.552907
0.1393735,-1.615827
0.1274987,-1.684587
0.1157379,-1.759674
0.1041103,-1.841877
0.0926353,-1.933601
0.0813553,-2.035271
0.0703435,-2.151679
0.0596778,-2.291557
0.0493868,-2.484463
0.0395562,-2.807031
0.0305972,-3.400181
0.0229472,-4.275139
0.0166788,-4.615914
0.0116976,-4.666647
0.0079657,-4.711818
0.0052295,-4.76119
0.003269,-4.856777
0.0018807,-5.056909
0.0008985,-5.404379
0.0002474,-5.900738
-8.88E-05,-6.428667
-0.0001134,-6.521791
0.0002056,-5.221124
0.0008955,-3.056758
0.0019848,-1.355636
0.0035758,-0.2539296
0.0058537,0.3688939
0.0091431,0.7257132
0.0135928,0.9208353
0.0186663,0.9897884
0.0247557,0.9991525
0.0329813,0.9691746
0.0436762,0.9132661
0.0547512,0.8553729
0.065841,0.8031163
0.0774405,0.7539816
0.0895086,0.7095082
0.1017308,0.6698465
0.113967,0.6346516
0.1262507,0.6028447
0.1386172,0.5740257
0.1510601,0.547707
0.1635514,0.5235877
0.1760719,0.5014604
0.188615,0.4809885
0.2011823,0.4619426
0.2137734,0.4441595
0.2263848,0.4274289
0.2390103,0.4115802
0.2516451,0.3965802
0.2642866,0.3823704
0.2769349,0.3688819
0.2895911,0.3560625
0.3022551,0.3438282
0.3149262,0.3321175
0.3276022,0.3208475
0.3402813,0.3100034
0.3529625,0.2995764
0.3656453,0.2895169
0.3783305,0.2798211
0.391018,0.2704609
0.4037077,0.2614084
0.4163981,0.2526281
0.4290875,0.2440888
0.4417745,0.2358218
0.4544589,0.2278083
0.4671415,0.2201016
0.4798245,0.2126961
0.4925094,0.2055703
0.5051966,0.1986921
0.517885,0.1920212
0.530572,0.1855134
0.5432552,0.1791972
0.5559334,0.1731024
0.5686071,0.1672638
0.581278,0.1617358
0.5939487,0.1565143
0.6066205,0.1515602
0.6192939,0.1468725
0.6319683,0.1424336
0.6446425,0.1382396
0.657316,0.1342998
0.669989,0.1306373
0.6826625,0.1272665
0.6953381,0.1241691
0.7080178,0.1213284
0.7207041,0.1187156
0.7333993,0.1163321
0.7461055,0.1140983
0.7588225,0.1119454
0.7715476,0.1098147
0.7842771,0.1076232
0.7970085,0.105416
0.8097426,0.1031764
0.822483,0.1009503
0.8352324,0.09871109
0.8479868,0.09647421
0.8607351,0.09428451
0.8734648,0.09201553
0.8861717,0.08945246
0.8988599,0.0863934
0.911532,0.08267974
0.9241753,0.07821634
0.9367624,0.07270102
0.9492623,0.06527694
0.9616297,0.05477821
0.9737011,0.03926012
0.9850341,0.01632161
0.9947108,-0.02083998
0.99975,0.0004678821
