xflr5 v6.61

Plane name :        Wing Name
Polar name :        T1-22.0 m/s-VLM1
Freestream speed :  22.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.000     0.000  -0.330969   0.006466   0.018118   0.024585  -0.000000  -0.000000   0.043294  -0.000000   0.000000   22.0000     0.0210
   -5.500     0.000  -0.295231   0.005144   0.016473   0.021618  -0.000000  -0.000000   0.034801  -0.000000  -0.000000   22.0000     0.0189
   -5.000     0.000  -0.259434   0.003972   0.015144   0.019116  -0.000000  -0.000000   0.026297  -0.000000  -0.000000   22.0000     0.0162
   -4.500     0.000  -0.223585   0.002949   0.013773   0.016722  -0.000000  -0.000000   0.017772  -0.000000  -0.000000   22.0000     0.0127
   -4.000     0.000  -0.187690   0.002077   0.012281   0.014359  -0.000000  -0.000000   0.009230  -0.000000  -0.000000   22.0000     0.0078
   -3.500     0.000  -0.151756   0.001358   0.010843   0.012201  -0.000000  -0.000000   0.000677  -0.000000   0.000000   22.0000     0.0006
   -3.000     0.000  -0.115791   0.000790   0.009719   0.010509  -0.000000  -0.000000  -0.007883  -0.000000   0.000000   22.0000    -0.0111
   -2.500     0.000  -0.079799   0.000376   0.009491   0.009867  -0.000000  -0.000000  -0.016441  -0.000000  -0.000000   22.0000    -0.0332
   -2.000     0.000  -0.043789   0.000115   0.009529   0.009643  -0.000000  -0.000000  -0.025007   0.000000  -0.000000   22.0000    -0.0918
   -1.500     0.000  -0.007767   0.000007   0.009628   0.009635  -0.000000  -0.000000  -0.033581   0.000000  -0.000000   22.0000    -0.6939
   -1.000     0.000   0.028260   0.000054   0.009727   0.009781  -0.000000  -0.000000  -0.042162  -0.000000  -0.000000   22.0000     0.2392
   -0.500     0.000   0.064285   0.000254   0.009820   0.010075  -0.000000  -0.000000  -0.050747   0.000000  -0.000000   22.0000     0.1264
    0.000     0.000   0.100302   0.000609   0.009883   0.010491  -0.000000  -0.000000  -0.059333  -0.000000   0.000000   22.0000     0.0947
    0.500     0.000   0.136304   0.001117   0.009923   0.011040  -0.000000  -0.000000  -0.067917  -0.000000  -0.000000   22.0000     0.0797
    1.000     0.000   0.172284   0.001778   0.009941   0.011719  -0.000000  -0.000000  -0.076497   0.000000   0.000000   22.0000     0.0710
    1.500     0.000   0.208236   0.002592   0.009925   0.012517  -0.000000  -0.000000  -0.085070  -0.000000  -0.000000   22.0000     0.0653
    2.000     0.000   0.244152   0.003559   0.009893   0.013453  -0.000000   0.000000  -0.093634   0.000000  -0.000000   22.0000     0.0613
    2.500     0.000   0.280025   0.004678   0.009833   0.014511  -0.000000  -0.000000  -0.102184  -0.000000  -0.000000   22.0000     0.0583
    3.000     0.000   0.315850   0.005948   0.009763   0.015711  -0.000000  -0.000000  -0.110720   0.000000   0.000000   22.0000     0.0560
    3.500     0.000   0.351620   0.007368   0.009691   0.017059  -0.000000   0.000000  -0.119237   0.000000   0.000000   22.0000     0.0542
    4.000     0.000   0.387327   0.008937   0.009634   0.018571  -0.000000   0.000000  -0.127735  -0.000000  -0.000000   22.0000     0.0527
    4.500     0.000   0.422965   0.010655   0.009595   0.020250  -0.000000   0.000000  -0.136211   0.000000   0.000000   22.0000     0.0514
    5.000     0.000   0.458528   0.012519   0.009581   0.022100  -0.000000  -0.000000  -0.144661  -0.000000  -0.000000   22.0000     0.0504
    5.500     0.000   0.494009   0.014529   0.009596   0.024125  -0.000000   0.000000  -0.153084   0.000000  -0.000000   22.0000     0.0495
    6.000     0.000   0.529401   0.016683   0.009639   0.026322  -0.000000   0.000000  -0.161478   0.000000   0.000000   22.0000     0.0488
    6.500     0.000   0.564699   0.018980   0.009708   0.028688  -0.000000   0.000000  -0.169840   0.000000  -0.000000   22.0000     0.0481
    7.000     0.000   0.599895   0.021418   0.009808   0.031226  -0.000000   0.000000  -0.178168   0.000000   0.000000   22.0000     0.0475
    7.500     0.000   0.634983   0.023995   0.009940   0.033935  -0.000000   0.000000  -0.186460   0.000000   0.000000   22.0000     0.0470
    8.000     0.000   0.669957   0.026709   0.010129   0.036838  -0.000000   0.000000  -0.194713   0.000000   0.000000   22.0000     0.0466
    8.500     0.000   0.704811   0.029559   0.010431   0.039990  -0.000000   0.000000  -0.202929  -0.000000  -0.000000   22.0000     0.0462
    9.000     0.000   0.739538   0.032542   0.010918   0.043459  -0.000000  -0.000000  -0.211107  -0.000000  -0.000000   22.0000     0.0458
    9.500     0.000   0.774132   0.035656   0.011626   0.047282  -0.000000   0.000000  -0.219249   0.000000   0.000000   22.0000     0.0455
   10.000     0.000   0.808587   0.038898   0.012510   0.051408  -0.000000   0.000000  -0.227351  -0.000000  -0.000000   22.0000     0.0452
   10.500     0.000   0.842897   0.042268   0.014010   0.056277  -0.000000   0.000000  -0.235431   0.000000   0.000000   22.0000     0.0450
   11.000     0.000   0.877057   0.045761   0.015998   0.061759  -0.000000   0.000000  -0.243485  -0.000000   0.000000   22.0000     0.0447
   11.500     0.000   0.911059   0.049375   0.018240   0.067615  -0.000000   0.000000  -0.251503  -0.000000   0.000000   22.0000     0.0445
   12.000     0.000   0.944899   0.053109   0.020780   0.073888  -0.000000   0.000000  -0.259485  -0.000000  -0.000000   22.0000     0.0443
   12.500     0.000   0.978571   0.056958   0.024898   0.081856  -0.000000   0.000000  -0.267500   0.000000   0.000000   22.0000     0.0441
   13.000     0.000   1.012068   0.060920   0.047467   0.108387  -0.000000   0.000000  -0.276488  -0.000000  -0.000000   22.0000     0.0440
   13.500     0.000   1.045386   0.064992   0.054324   0.119316  -0.000000   0.000000  -0.284603   0.000000   0.000000   22.0000     0.0438
   14.000     0.000   1.078518   0.069172   0.060657   0.129828  -0.000000  -0.000000  -0.292645  -0.000000  -0.000000   22.0000     0.0437
   14.500     0.000   1.111460   0.073455   0.066248   0.139703  -0.000000   0.000000  -0.300597  -0.000000  -0.000000   22.0000     0.0436
   15.000     0.000   1.144206   0.077839   0.072403   0.150242  -0.000000   0.000000  -0.308534  -0.000000   0.000000   22.0000     0.0435
   15.500     0.000   1.176751   0.082321   0.072921   0.155242  -0.000000   0.000000  -0.316048  -0.000000   0.000000   22.0000     0.0434
   16.000     0.000   1.209089   0.086896   0.073942   0.160839  -0.000000   0.000000  -0.323520  -0.000000  -0.000000   22.0000     0.0433
   16.500     0.000   1.241216   0.091563   0.079182   0.170744  -0.000000   0.000000  -0.331211   0.000000   0.000000   22.0000     0.0432
   17.000     0.000   1.273127   0.096316   0.079492   0.175808  -0.000000   0.000000  -0.338485  -0.000000  -0.000000   22.0000     0.0431
