  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:34:44	   6.000	    5.87	 1001.20	   22.76	  200.04	   1.179	    1.13	   -6.06	   -9.44	  -12.02	  -10.03	   -1.67	   -3.39	   -6.93	   -7.04	   -5.35	    2.84	   -4.89	   -3.83	   -2.85	   -5.14	   -7.36	   -3.90	   -4.41	   -4.55	   -5.63	   -4.84	   -4.75	   -3.85	   -1.53	   -0.26	    1.40	   13.07	   10.98	    6.83	    4.14	    2.76	    1.68	    2.02	    1.58	    1.41	    1.08	    0.88	    0.44	    0.60	    0.33	    0.26	    0.27	    0.20	    0.19	    0.29	    0.12	    0.15	    0.11	   -0.26	   12.44	   13.60	   14.26	   13.51	   14.14	   13.66	   12.33	   13.90	   14.36	   13.06	   14.66	   12.75	   13.57	   13.07	   13.41	   13.49	   13.63	   12.14	   13.26	   12.82	   13.68	   11.69	   11.63	   10.88	   10.37	   10.25	    9.70	   10.40	   10.18	   10.82	   10.24	   11.37	   12.76	   12.87	   13.31	   12.35	   13.09	   13.21	   11.49	   14.23	   11.97	   13.94	   13.20	   11.36	   12.08	   13.67	   12.79	   13.14	    0.89	    0.97	    1.02	    0.98	    1.04	    0.66	    0.87	    0.67	    0.73	    0.85	    0.91	    0.97	   -0.06	    0.03	    0.03	    0.04
       2	 15:47:39	  -6.000	  142.89	 1001.56	   22.80	  910.67	   1.179	 -173.53	  222.58	  288.55	  199.42	  113.81	   68.24	   30.13	    8.20	   -8.66	  -18.25	  -13.94	  -33.66	  -33.40	  -36.79	  -36.28	  -31.72	  -22.82	  -17.93	  -11.35	   -5.59	   -0.13	    4.01	    7.20	    9.93	   20.06	 -175.23	 -638.81	 -636.92	 -502.44	 -243.50	 -198.50	 -171.74	 -147.15	 -130.95	 -116.76	 -104.63	  -94.29	  -85.11	  -75.99	  -67.30	  -59.17	  -50.50	  -41.73	  -32.40	  -22.59	  -12.77	   -2.69	    7.18	   20.06	  299.80	  300.63	  300.29	  300.02	  300.00	  300.99	  299.23	  300.08	  300.58	  299.57	  300.71	  299.29	  301.67	  299.33	  299.91	  299.98	  299.79	  299.65	  299.27	  292.32	  270.67	  241.51	  223.03	  218.34	  232.39	  263.99	  286.61	  298.52	  300.93	  300.55	  300.38	  300.53	  300.52	  301.18	  300.56	  300.52	  300.81	  300.83	  298.46	  300.49	  298.69	  301.17	  299.88	  298.46	  299.23	  300.95	  300.52	  300.41	   15.64	   12.51	   13.68	   13.67	   14.26	   13.77	   14.17	   15.77	   16.17	   16.08	   16.27	   11.29	    1.58	    0.05	    0.02	    0.03
       3	 15:48:53	  -4.000	  144.61	 1001.68	   22.94	  909.74	   1.179	   -0.80	  239.71	  256.91	  142.07	   59.63	   17.83	   -9.45	  -35.17	  -44.96	  -53.08	  -43.59	  -58.28	  -58.63	  -59.10	  -56.39	  -50.85	  -41.78	  -32.33	  -25.43	  -19.86	  -16.57	  -13.08	  -11.66	   -7.48	   29.21	   -1.41	 -538.70	 -365.43	 -260.42	 -198.94	 -161.84	 -128.86	 -106.42	  -94.21	  -85.24	  -77.45	  -70.41	  -64.17	  -57.49	  -50.62	  -44.27	  -37.33	  -29.83	  -21.30	  -12.26	   -2.69	    7.66	   18.00	   29.21	  300.62	  301.51	  301.29	  300.96	  301.02	  301.80	  300.70	  301.06	  301.57	  300.62	  301.78	  300.25	  302.77	  300.40	  300.82	  301.01	  300.74	  300.61	  301.16	  301.59	  302.61	  299.17	  292.81	  272.83	  251.09	  248.17	  265.34	  285.07	  296.59	  300.67	  301.29	  301.42	  302.98	  303.75	  303.01	  302.90	  303.28	  302.74	  300.94	  303.09	  301.12	  303.78	  302.56	  300.91	  301.64	  303.43	  302.87	  302.92	   15.00	   13.54	   14.55	   14.28	   14.61	   14.46	   15.63	   15.65	   15.92	   15.59	   15.71	   12.61	    1.16	    0.03	    0.04	    0.07
       4	 15:49:21	  -2.000	  141.70	 1001.75	   22.98	  909.40	   1.178	  190.84	  228.23	  196.44	   76.09	   -2.10	  -31.72	  -52.45	  -70.77	  -77.83	  -80.99	  -70.11	  -79.02	  -77.34	  -74.95	  -69.93	  -61.47	  -50.88	  -42.29	  -36.96	  -33.22	  -32.43	  -30.92	  -23.77	   34.19	   28.43	  186.35	 -214.35	 -197.78	 -155.46	 -123.50	 -103.94	  -90.98	  -79.71	  -72.25	  -65.50	  -59.65	  -54.55	  -50.06	  -45.37	  -40.76	  -35.86	  -31.04	  -25.99	  -21.00	  -16.28	  -10.83	   -0.61	   16.28	   28.43	  300.26	  301.14	  300.94	  300.66	  300.58	  301.45	  300.51	  300.67	  301.15	  300.37	  301.40	  299.92	  302.39	  299.87	  300.56	  300.52	  300.27	  300.32	  300.95	  300.59	  297.24	  284.45	  270.46	  261.85	  266.29	  282.20	  292.43	  299.29	  301.35	  301.08	  301.10	  301.07	  299.09	  300.21	  299.39	  300.10	  299.50	  298.87	  297.18	  299.04	  297.42	  299.80	  298.36	  297.15	  297.95	  299.69	  299.27	  299.16	   13.99	   13.71	   14.67	   14.27	   14.39	   14.77	   14.30	   15.22	   15.17	   14.71	   14.82	   13.04	    0.54	    0.04	    0.02	    0.06
       5	 15:49:52	  -0.000	  144.90	 1001.77	   23.03	  909.44	   1.178	  294.30	  172.07	  104.85	  -10.41	  -70.12	  -89.55	  -99.92	 -110.89	 -112.90	 -110.76	  -97.32	 -105.72	  -99.03	  -93.41	  -85.42	  -75.44	  -65.48	  -60.52	  -56.53	  -54.79	  -54.55	  -15.38	   24.73	   37.91	   37.59	  288.36	   49.62	  -39.06	  -55.96	  -57.46	  -52.89	  -48.69	  -43.30	  -40.65	  -37.73	  -34.94	  -32.47	  -30.22	  -27.31	  -24.26	  -20.64	  -16.60	  -11.95	   -6.87	   -1.62	    3.06	    7.06	    9.75	   37.59	  299.91	  300.69	  300.57	  300.20	  300.23	  300.94	  300.04	  300.18	  300.71	  299.89	  300.98	  299.90	  301.89	  299.56	  300.19	  300.09	  300.11	  299.76	  300.47	  300.44	  299.18	  292.04	  282.92	  270.49	  265.76	  271.28	  279.06	  289.51	  296.52	  299.95	  300.56	  300.61	  300.59	  302.42	  300.71	  301.26	  300.80	  300.24	  298.54	  300.44	  298.85	  301.29	  299.89	  298.60	  299.28	  300.99	  300.64	  300.44	   13.98	   14.77	   15.72	   15.09	   15.03	   15.80	   15.11	   15.65	   15.41	   14.79	   14.91	   14.32	    0.99	    0.03	    0.00	    0.08
       6	 15:50:49	   2.000	  141.66	 1001.79	   23.09	  910.08	   1.178	  289.19	   44.01	  -31.20	 -119.49	 -154.97	 -158.50	 -158.14	 -159.00	 -155.79	 -150.85	 -131.76	 -134.53	 -125.84	 -117.68	 -107.85	  -97.50	  -90.98	  -87.61	  -84.99	  -84.22	  -20.51	    2.89	   12.33	   24.60	   36.14	  282.75	  232.28	  101.98	   39.74	   12.10	    2.44	   -2.71	   -4.18	   -5.91	   -6.65	   -6.92	   -6.94	   -6.96	   -6.06	   -4.60	   -2.79	   -0.29	    3.16	    7.65	   12.78	   17.96	   23.10	   26.81	   36.14	  301.11	  302.00	  301.74	  301.56	  301.50	  302.20	  301.44	  301.38	  302.05	  301.04	  302.24	  301.05	  303.07	  300.87	  301.39	  301.28	  301.16	  301.21	  301.76	  302.22	  301.61	  289.45	  268.90	  255.97	  261.91	  281.29	  294.28	  301.13	  302.43	  302.04	  301.79	  301.86	  300.65	  300.70	  300.87	  301.35	  300.94	  300.28	  298.57	  300.45	  298.96	  301.49	  300.03	  298.63	  299.45	  301.12	  300.66	  300.40	   12.41	   15.34	   16.16	   15.25	   14.82	   15.28	   15.59	   14.89	   14.36	   13.42	   13.53	   15.17	    0.16	    0.02	    0.03	    0.10
       7	 15:51:28	   4.000	  143.87	 1001.79	   23.12	  908.74	   1.178	  115.21	 -119.89	 -183.95	 -228.28	 -235.04	 -221.25	 -209.41	 -200.23	 -194.24	 -182.00	 -158.96	 -157.99	 -147.04	 -138.99	 -130.59	 -122.46	 -118.02	 -116.21	  -65.53	  -31.70	  -21.18	   -7.78	    5.26	   20.80	   40.55	  109.69	  290.04	  196.33	  112.32	   67.62	   46.29	   33.89	   28.44	   23.05	   18.95	   15.92	   13.54	   11.38	   10.60	    9.93	   10.03	   10.67	   12.34	   15.09	   18.53	   22.64	   27.27	   32.02	   40.55	  296.10	  297.13	  297.00	  296.73	  296.60	  296.96	  296.37	  296.63	  296.95	  296.28	  297.25	  296.22	  298.24	  296.14	  296.44	  296.47	  296.28	  296.16	  296.73	  297.60	  297.82	  292.00	  274.10	  251.41	  250.03	  268.72	  285.30	  295.31	  297.07	  297.11	  296.87	  296.94	  301.24	  302.23	  301.45	  301.95	  301.54	  300.96	  299.24	  301.24	  299.60	  301.97	  300.78	  299.44	  300.05	  301.66	  301.29	  300.94	   11.70	   16.05	   16.83	   15.66	   15.03	   15.29	   15.98	   14.79	   13.97	   12.80	   12.97	   16.13	    0.44	    0.05	    0.01	    0.08
       8	 15:52:07	   6.000	  140.60	 1001.92	   23.16	  910.00	   1.178	 -257.72	 -340.16	 -371.12	 -358.67	 -325.87	 -293.75	 -268.19	 -250.73	 -235.10	 -218.60	 -193.83	 -190.68	 -178.90	 -170.85	 -163.58	 -130.11	  -95.34	  -79.15	  -65.31	  -50.45	  -34.63	  -16.03	   -0.07	   17.93	   39.83	 -262.93	  280.00	  260.11	  174.34	  118.22	   89.22	   69.75	   61.06	   52.24	   45.40	   39.71	   35.25	   31.30	   28.49	   26.29	   24.65	   23.73	   23.99	   25.25	   27.32	   30.16	   33.79	   37.51	   39.83	  297.21	  298.38	  298.29	  297.85	  297.72	  298.10	  297.65	  297.79	  298.14	  297.44	  298.45	  297.08	  299.30	  297.22	  297.60	  297.57	  297.58	  297.45	  297.97	  299.10	  299.03	  294.06	  274.79	  246.62	  243.34	  267.79	  289.25	  297.95	  298.50	  298.46	  297.37	  298.22	  296.55	  297.54	  296.96	  297.47	  297.09	  296.56	  294.88	  296.60	  295.34	  297.25	  295.84	  294.94	  295.60	  297.09	  296.97	  296.57	   10.43	   16.23	   16.97	   15.61	   14.74	   14.92	   15.70	   14.18	   13.11	   11.67	   11.88	   16.57	    0.00	    0.04	    0.01	    0.01
       9	 15:52:34	   8.000	  142.95	 1001.80	   23.20	  910.03	   1.178	 -794.60	 -589.32	 -582.43	 -495.50	 -423.04	 -367.27	 -331.31	 -306.60	 -279.92	 -250.22	 -214.81	 -205.87	 -186.87	 -173.11	 -154.14	 -134.27	 -113.12	  -95.29	  -76.14	  -57.80	  -40.16	  -19.94	   -3.47	   13.75	   33.99	 -802.91	  200.04	  291.24	  222.71	  161.13	  126.37	  102.92	   90.39	   78.64	   69.18	   61.36	   54.86	   49.07	   44.72	   40.83	   37.76	   35.39	   34.04	   33.88	   34.51	   36.09	   38.40	   40.81	   33.99	  299.35	  300.25	  300.11	  299.89	  299.70	  300.12	  299.70	  299.72	  300.25	  299.46	  300.62	  299.26	  300.95	  299.19	  299.82	  299.53	  299.36	  299.32	  299.84	  301.20	  297.71	  280.00	  252.10	  232.57	  241.94	  274.28	  294.31	  300.37	  300.81	  300.41	  299.45	  300.14	  300.02	  300.89	  300.24	  300.67	  300.46	  299.83	  298.08	  299.94	  298.36	  300.70	  299.43	  298.10	  298.88	  300.49	  300.02	  299.98	   10.45	   17.73	   18.44	   16.88	   15.83	   15.59	   16.31	   15.00	   13.53	   11.83	   12.08	   18.31	   -0.01	    0.05	    0.01	   -0.04
