  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 16:33:44	  -6.000	  142.85	 1003.19	   23.24	   0.466	  -5.642	  -0.090	   910.6	   1.179
       2	 16:34:30	  -4.000	  144.71	 1003.25	   23.44	   0.267	  -2.701	  -0.053	   909.4	   1.178
       3	 16:34:51	  -2.000	  143.86	 1003.20	   23.47	   0.214	  -0.489	  -0.026	   910.0	   1.178
       4	 16:35:14	   0.000	  141.85	 1003.20	   23.50	   0.229	   1.949	  -0.013	   910.6	   1.178
       5	 16:35:33	   2.000	  141.16	 1003.21	   23.54	   0.314	   5.205	   0.005	   909.3	   1.178
       6	 16:35:58	   4.000	  144.24	 1003.24	   23.56	   0.444	   7.884	   0.008	   910.9	   1.178
       7	 16:36:18	   6.000	  142.83	 1003.18	   23.57	   0.606	  10.616	  -0.003	   909.2	   1.178
       8	 16:36:38	   8.000	  140.75	 1003.25	   23.60	   0.829	  13.189	  -0.026	   910.2	   1.178
       9	 16:37:04	  10.000	  142.30	 1003.25	   23.64	   1.136	  15.737	  -0.065	   910.9	   1.178
      10	 16:37:28	  11.000	  143.74	 1003.29	   23.67	   1.291	  16.439	  -0.090	   910.2	   1.178
      11	 16:37:54	  12.000	  142.00	 1003.27	   23.70	   1.479	  17.312	  -0.119	   910.0	   1.177
      12	 16:38:39	  12.500	  141.20	 1003.22	   23.73	   1.537	  17.277	  -0.130	   911.1	   1.177
      13	 16:39:00	  13.000	  143.04	 1003.31	   23.74	   1.645	  17.715	  -0.149	   910.1	   1.177
      14	 16:39:20	  13.500	  141.72	 1003.34	   23.76	   1.744	  17.760	  -0.160	   910.6	   1.177
      15	 16:39:39	  14.000	  141.10	 1003.34	   23.79	   1.851	  17.710	  -0.168	   910.7	   1.177
      16	 16:39:54	  14.500	  140.51	 1003.36	   23.78	   2.032	  17.697	  -0.178	   910.2	   1.177
      17	 16:41:22	  15.000	  141.44	 1003.44	   23.86	   2.250	  17.616	  -0.181	   909.5	   1.177
      18	 16:41:41	  15.500	  139.30	 1003.45	   23.87	   2.461	  17.228	  -0.178	   910.4	   1.177
      19	 16:42:00	  16.000	  139.16	 1003.45	   23.88	   4.184	  16.390	  -0.083	   909.4	   1.177
      20	 16:42:27	  16.500	  142.01	 1003.44	   23.88	   4.338	  15.454	  -0.084	   910.5	   1.177
      21	 16:43:43	  17.000	  139.08	 1003.46	   23.93	   4.531	  14.919	  -0.103	   909.8	   1.177
      22	 16:44:32	  17.500	  141.49	 1003.42	   23.95	   4.675	  14.371	  -0.115	   909.7	   1.177
      23	 16:44:59	  18.000	  139.57	 1003.47	   23.96	   4.773	  13.988	  -0.130	   910.2	   1.177
      24	 16:45:35	  18.500	  139.36	 1003.43	   23.97	   4.934	  13.913	  -0.129	   909.4	   1.176
      25	 16:46:25	  18.000	  140.52	 1003.42	   23.99	   4.836	  14.163	  -0.128	   909.3	   1.176
      26	 16:46:46	  17.500	  139.40	 1003.38	   23.99	   4.672	  14.417	  -0.120	   909.5	   1.176
      27	 16:47:06	  17.000	  138.39	 1003.46	   23.99	   4.499	  14.865	  -0.107	   909.4	   1.176
      28	 16:47:29	  16.500	  140.68	 1003.43	   24.00	   4.393	  15.471	  -0.084	   910.8	   1.176
      29	 16:47:57	  16.000	  138.79	 1003.45	   24.02	   4.125	  16.165	  -0.082	   910.1	   1.176
      30	 16:48:21	  15.500	  140.77	 1003.46	   24.02	   3.847	  16.902	  -0.084	   910.0	   1.176
      31	 16:48:40	  15.000	  141.61	 1003.46	   24.03	   2.554	  17.810	  -0.161	   910.3	   1.176
